YearWeek,Percentage,State,Entropy,Actions,stat_code,act_code
2020_27,15.5072463768116,low,4.51675827402438,high,1,2
2020_28,11.9228521332554,low,4.84115649102453,high,1,2
2020_29,0.469483568075117,very_low,4.62286247416986,high,0,2
2020_36,4.8780487804878,very_low,4.4429918863987,high,0,2
2020_38,9.77337110481586,very_low,4.41426104088836,high,0,2
2020_39,13.3583021223471,low,4.80027443732059,high,1,2
2020_40,13.3140376266281,low,4.91529113804916,high,1,2
2020_42,16.9559412550067,low,4.70574949389124,high,1,2
2020_43,1.50891632373114,very_low,4.50522620441997,high,0,2
2020_44,16.7384284176534,low,5.64231397313262,high,1,2
2020_45,10.5040237187632,low,5.51290090006075,high,1,2
2020_46,15.6701030927835,low,4.83051732367752,high,1,2
2020_47,5.04694835680751,very_low,5.45446937619681,high,0,2
2020_48,7.71812080536913,very_low,4.85393072229383,high,0,2
2020_49,6.07142857142857,very_low,4.46880264171979,high,0,2
2020_5,9.30760499432463,very_low,4.55932823493737,high,0,2
2020_50,10.246679316888,low,4.28756966563307,high,1,2
2020_51,18.3894230769231,low,4.30796751945251,high,1,2
2020_52,7.21868365180467,very_low,3.81563037452181,medium,0,1
2020_53,15.6862745098039,low,3.73877601842181,medium,1,1
2020_6,7.90419161676647,very_low,4.28190201449373,high,0,2
2021_1,5.24271844660194,very_low,4.37787051246103,high,0,2
2021_10,5.15337423312883,very_low,4.75249476831574,high,0,2
2021_11,15.4873164218959,low,4.59381462348219,high,1,2
2021_12,7.56578947368421,very_low,4.93555504823017,high,0,2
2021_13,9.52380952380952,very_low,4.90966082840015,high,0,2
2021_14,4.79774223894638,very_low,4.69564460457906,high,0,2
2021_15,6.99432892249527,very_low,4.33853937165259,high,0,2
2021_16,14.6673651126244,low,5.04097163698195,high,1,2
2021_17,10.5485232067511,low,4.64348200358663,high,1,2
2021_18,10.2657004830918,low,4.48566368137404,high,1,2
2021_19,23.8215488215488,medium,4.6870607329816,high,2,2
2021_2,2.80583613916947,very_low,4.64030660460144,high,0,2
2021_20,10.2449888641425,low,5.23511878163319,high,1,2
2021_21,13.0668257756563,low,4.45047067423338,high,1,2
2021_22,16.3076923076923,low,4.89050398414471,high,1,2
2021_23,24.864446165763,medium,5.06332656774603,high,2,2
2021_24,20.3667953667954,medium,4.71449141562843,high,2,2
2021_25,8.7,very_low,4.49705791708264,high,0,2
2021_26,18.2451253481894,low,4.73048229377622,high,1,2
2021_27,14.6946564885496,low,4.84268618029611,high,1,2
2021_28,5.37261698440208,very_low,4.51260736627735,high,0,2
2021_29,8.94607843137255,very_low,4.13206371195837,high,0,2
